type_shoes,price,address,image_link-src
Chaussures homme,40 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3574365_uploaded_image1_1645280208.jpg
Chaussures homme,14 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3591890_uploaded_image1_1646316336.jpg
Chaussures homme,35 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3574268_uploaded_image1_1645275509.jpg
Claquettes homme,12 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3574269_uploaded_image1_1645275574.jpg
Chaussures homme,35 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3574267_uploaded_image1_1645275441.jpg
Chaussures homme,10 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3591520_uploaded_image1_1646306068.jpg
Chaussures Versace,28 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3591460_uploaded_image1_1646304813.jpg
Baskets New Balance,25 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3591376_uploaded_image2_1646302261.jpeg
Chaussures Vans,12 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3591283_uploaded_image1_1646299848.jpg
Chaussures homme,35 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3573737_uploaded_image1_1645228595.jpg
Chaussures Calvin,35 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3573741_uploaded_image1_1645228731.jpg
Claquettes homme,12 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3573735_uploaded_image1_1645228516.jpg
Claquettes Chanel,12 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3573728_uploaded_image1_1645228162.jpg
Mocassins Zara homme,25 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3590871_uploaded_image1_1646263712.jpg
Chaussures homme,35 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3553260_uploaded_image1_1643921804.jpg
Chaussures homme,30 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3553264_uploaded_image1_1643921962.jpg
Chaussures homme,40 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3565426_uploaded_image1_1644691600.jpg
Baskets Jordan 4 Yelow / Black,30 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3590417_uploaded_image1_1646245485.jpg
Baskets All Star Converse,15 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3590412_uploaded_image1_1646245355.jpg
Chaussures homme,50 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3590344_uploaded_image1_1646243736.jpg
Chaussures homme,45 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3590340_uploaded_image1_1646243580.jpg
Baskets Balenciaga Triple S,50 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3590334_uploaded_image1_1646243512.jpg
