type_kids_shoes,price,address,image_link-src
Chaussures enfants,12 000CFA,"Abobo, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_5037600_uploaded_image1_1731314169.jpg
Chaussures enfants,10 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_5024654_uploaded_image1_1730644034.jpg
Bottines treillis 32,7 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_4994220_uploaded_image1_1728966936.jpg
Chaussures enfant,12 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_4987364_uploaded_image1_1728582448.jpg
Chaussures enfant,12 500CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_4987361_uploaded_image1_1728582349.jpg
Chaussures enfant,7 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_4987355_uploaded_image1_1728582028.jpg
Chaussures enfant,8 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_4987348_uploaded_image1_1728581817.jpg
Baskets enfant,25 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_4948638_uploaded_image1_1726587976.jpg
Chaussure enfants de 25 à 30,10 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_4982912_uploaded_image1_1728392678.jpg
chaussures enfants,4 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_4968268_uploaded_image1_1727693659.jpg
Chaussures enfant,8 500CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_4890022_uploaded_image1_1723464166.jpg
Chaussons 16 à 21,3 500CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_4841238_uploaded_image1_1720873074.jpg
Baskets enfant,10 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_4838552_uploaded_image1_1720716682.jpg
Chaussures enfants,10 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_4835005_uploaded_image1_1720559405.jpg
Sandales fille,1 500CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_4871621_uploaded_image1_1722522798.jpg
Chaussures enfant,14 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_4851317_uploaded_image1_1721408509.jpg
Chaussures Adidas pour enfant,15 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_4745843_uploaded_image1_1715810050.jpg
Sandale pour enfants,15 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_4745841_uploaded_image1_1715809985.jpg
Chaussures Nike,15 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_4745834_uploaded_image1_1715809621.jpg
Chaussures Nike Dunk pour enfant,15 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_4710247_uploaded_image1_1714036426.jpg
Chaussures New Balance,16 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_4710233_uploaded_image1_1714036057.jpg
Chaussures Nike enfant,15 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_4710225_uploaded_image1_1714035899.jpg
