type_clothes,price,address,image_link-src
Ensemble Lavallière,18 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2792840_uploaded_image1_1606549339.jpg
T-shirts homme,4 500CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2792665_uploaded_image1_1606538392.jpg
T-shirt,4 500CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2792664_uploaded_image1_1606538210.jpg
Pulls,8 500CFA,"Akoupé, Côte d'Ivoire",https://images.coinafrique.com/thumb_2792512_uploaded_image1_1606519691.jpg
T-shirts,5 000CFA,"Treichville, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2792302_uploaded_image1_1606511259.jpg
Pantalons Jeans,9 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2792032_uploaded_image1_1606501886.jpg
Pantalon dockers Zara,9 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2792030_uploaded_image2_1606501833.jpeg
Pantalons Dockers - Zara,9 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2792026_uploaded_image1_1606501760.jpg
Chemises homme,12 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2792021_uploaded_image1_1606501571.jpg
Chemises homme,12 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2792010_uploaded_image1_1606501403.jpg
Pantalons jeans,9 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2791969_uploaded_image1_1606500279.jpg
Pantalon dockers Zara,9 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2791965_uploaded_image1_1606500213.jpg
Pantalons dockers Zara,9 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2791962_uploaded_image1_1606500115.jpg
Tunique homme,13 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2791537_uploaded_image1_1606487260.jpg
Tunique homme,13 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2791531_uploaded_image1_1606487192.jpg
Tunique homme,13 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2791527_uploaded_image1_1606487118.jpg
Tunique homme,13 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2791521_uploaded_image1_1606487047.jpg
Tunique homme,13 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2791517_uploaded_image1_1606486973.jpg
Tunique  homme,13 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2791516_uploaded_image1_1606486936.jpg
Tunique homme,13 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2791515_uploaded_image1_1606486912.jpg
Tunique homme,13 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2791511_uploaded_image1_1606486878.jpg
Tunique homme,13 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2791507_uploaded_image1_1606486829.jpg
Tunique homme,13 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2791482_uploaded_image1_1606486267.jpg
Tunique homme,13 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2791480_uploaded_image1_1606486196.jpg
Pantalon tissus,9 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2791365_uploaded_image1_1606482602.jpg
Pantalon tissus,9 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2791363_uploaded_image1_1606482544.jpg
Pantalons Dockers,9 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2791359_uploaded_image1_1606482457.jpg
Pantalon Dockers,9 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2791356_uploaded_image1_1606482359.jpg
