type_child_clothes,price,address,image_link-src
Grenouillère 6 mois,4 000CFA,"San-Pédro, Côte d'Ivoire",https://images.coinafrique.com/thumb_917223_uploaded_image1_1567785529.9.png
Robe bleue Kiabi 8 ans,4 000CFA,"San-Pédro, Côte d'Ivoire",https://images.coinafrique.com/thumb_917198_uploaded_image1_1567785202.83.png
Robes pour fillettes,8 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_914817_uploaded_image1_1567729216.16.png
Robes,5 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_914813_uploaded_image1_1567729119.2.png
Robe fillettes au crochet & pagne,10 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_904174_uploaded_image1_1567510527.01.png
Tuniques Enfant - Homme et Femme,Prix sur demande,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_883280_uploaded_image1_1566941747.73.png
Jupe tutus,10 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_877472_uploaded_image1_1566821329.8.png
Jupe - tutus,10 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_877461_uploaded_image2_1566821237.91.png
Vêtements enfant,15 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_874983_uploaded_image1_1566743180.72.png
Vêtements enfants,2 000CFA,Côte d'Ivoire,https://images.coinafrique.com/thumb_866556_uploaded_image1_1566501452.01.png
Tee shirt pour bébé,6 500CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_860336_uploaded_image3_1566372741.13.png
Tuniques  enfant,20 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_853100_uploaded_image1_1566210605.32.png
Robes enfants,5 000CFA,Côte d'Ivoire,https://images.coinafrique.com/thumb_848540_uploaded_image1_1566044341.57.png
Vêtements enfant,16 000CFA,"Abobo, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_847238_uploaded_image1_1565992482.09.png
Survêtement Côte d'Ivoire,18 000CFA,Côte d'Ivoire,https://images.coinafrique.com/thumb_843930_uploaded_image1_1565900003.21.png
Ensemble pour enfant,8 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_832974_uploaded_image1_1565544800.25.png
Ensembles enfant,8 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_832971_uploaded_image1_1565544675.24.png
Ensemble t-shirt + culotte,10 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_830190_uploaded_image1_1565432124.3.png
Ensembles pour enfant,8 000CFA,"Abobo, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_826228_uploaded_image1_1565333690.59.png
Boubou,8 000CFA,"Abobo, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_826185_uploaded_image1_1565332610.44.png
Boubou  Maroc enfant,10 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_823902_uploaded_image1_1565269494.21.png
Vêtements enfant,14 950CFA,"Abobo, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_813760_uploaded_image1_1565022121.49.png
Vêtements enfants,18 000CFA,"Abobo, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_813755_uploaded_image1_1565021991.18.png
Vêtements enfant,6 500CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_803878_uploaded_image1_1564727718.24.png
Bombers enfant,6 000CFA,Côte d'Ivoire,https://images.coinafrique.com/thumb_803869_uploaded_image1_1564727515.77.png
